1760964083438 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760964083451 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760964083451 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760964083480 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760964083480 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760964083480 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760964083482 | EMP-1 | Joao da Silva |  | HourlyEmployee
1760964083482 | EMP-2 | Joao da Silva |  | HourlyEmployee
1760964083482 | EMP-3 | Joao da Silva |  | HourlyEmployee
1760964083498 | EMP-4 | Mariazinha |  | SalariedEmployee
1760964083502 | EMP-5 | Gaiato Vendedor |  | CommissionedEmployee
1760964083505 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760964083505 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760964083506 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760966065506 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760966065518 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760966065518 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760966065536 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760966065537 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760966065537 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760966065545 | EMP-1 | Joao da Silva |  | HourlyEmployee
1760966065549 | EMP-2 | Joao da Silva |  | HourlyEmployee
1760966065551 | EMP-3 | Joao da Silva |  | HourlyEmployee
1760966065553 | EMP-4 | Mariazinha |  | SalariedEmployee
1760966065557 | EMP-5 | Gaiato Vendedor |  | CommissionedEmployee
1760966065560 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760966065560 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760966065560 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
